"term","regex","class","notes","concept_id","preferred_label","original_term","original_class","abc_role","abc_subrole","domain","concept_family","node_level","analysis_tier","atlas_layer","include_primary","primary_atlas_eligible","retain_reason","interpretation_note","regex_qc_action","corpus_hit_n","corpus_hit_pct","example_pmids"
"filgotinib","(?i:\b(filgotinib|\bGLPG0634\b)\b)","drug","JAK; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_011","filgotinib","filgotinib","drug","A","A_treatment_context","treatment_context","JAK_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","inline_flags_normalized",2,0.13,"40863428;39995397"
"nintedanib","(?i:\b(nintedanib|ofev)\b)","drug","antifibrotic; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_012","nintedanib","nintedanib","drug","A","A_treatment_context","treatment_context","antifibrotic","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","inline_flags_normalized",33,2.21,"41598167;41399072;41314131"
"pirfenidone","(?i:\b(pirfenidone|esbriet)\b)","drug","antifibrotic; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_013","pirfenidone","pirfenidone","drug","A","A_treatment_context","treatment_context","antifibrotic","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","inline_flags_normalized",17,1.14,"41598167;41399072;39685534"
"rituximab","(?i:\b(?:rituximab|RTX)\b)","biologic_drug","B-cell; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_014","rituximab","rituximab","bio","A","A_treatment_context","treatment_context","B_cell_targeted_biologic","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged; class_bio_to_biologic_drug",39,2.61,"41410579;40956071;40885085"
"abatacept","(?i:\b(?:abatacept|ABT)\b)","biologic_drug","T-cell costim; v2_qc: Removed ABA; full abatacept and ABT retained because ABA is short/ambiguous and full term appears in defining abstracts.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_015","abatacept","abatacept","bio","A","A_treatment_context","treatment_context","T_cell_costimulation_biologic","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged; class_bio_to_biologic_drug",35,2.34,"40863428;40768904;40280051"
"tocilizumab","(?i:\b(?:tocilizumab|TCZ)\b)","biologic_drug","IL6; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_016","tocilizumab","tocilizumab","bio","A","A_treatment_context","treatment_context","IL6_pathway_biologic","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged; class_bio_to_biologic_drug",26,1.74,"41410579;40863428;40280051"
"sarilumab","(?i:\bsarilumab\b)","biologic_drug","IL6; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_017","sarilumab","sarilumab","bio","A","A_treatment_context","treatment_context","IL6_pathway_biologic","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged; class_bio_to_biologic_drug",1,0.07,"40863428"
"adalimumab","(?i:\badalimumab\b)","biologic_drug","TNFi; v2_qc: Removed ADA standalone acronym as low-yield/ambiguous; full term retained.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_018","adalimumab","adalimumab","bio","A","A_treatment_context","treatment_context","TNF_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged; class_bio_to_biologic_drug",9,0.6,"36939701;34762577;34059186"
"etanercept","(?i:\b(?:etanercept|ETN)\b)","biologic_drug","TNFi; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_019","etanercept","etanercept","bio","A","A_treatment_context","treatment_context","TNF_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged; class_bio_to_biologic_drug",13,0.87,"34059186;33718399;31712995"
"infliximab","(?i:\b(?:infliximab|IFX)\b)","biologic_drug","TNFi; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_020","infliximab","infliximab","bio","A","A_treatment_context","treatment_context","TNF_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged; class_bio_to_biologic_drug",14,0.94,"40956071;37700154;37421190"
"golimumab","(?i:\bgolimumab\b)","biologic_drug","TNFi; v2_qc: Removed GOL standalone acronym as low-yield; full term retained.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_021","golimumab","golimumab","bio","A","A_treatment_context","treatment_context","TNF_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged; class_bio_to_biologic_drug",0,0,""
"certolizumab","(?i:\bcertolizumab(?:\s*pegol)?\b)","biologic_drug","TNFi; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_022","certolizumab","certolizumab","bio","A","A_treatment_context","treatment_context","TNF_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged; class_bio_to_biologic_drug",2,0.13,"35822806;28747607"
"MUC5B","\bMUC5B\b","gene","risk; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_023","MUC5B","MUC5B","gene","A","A_genetic","genetics","genetic_risk","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","retained",29,1.94,"41392523;41236136;41091209"
"TERT","(?:\bTERT\b|(?i:\btelomerase\s+reverse\s+transcriptase\b))","gene","risk; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_024","TERT","TERT","gene","A","A_genetic","genetics","telomere_genetics","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",6,0.4,"41402949;38003027;33993221"
"smoking","(?i:\b(?:smoking|smokers?|tobacco)\b)","exposure","behavioral; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_025","smoking","smoking","exposure","A","A_environmental_exposure","environmental_exposure","environmental_exposure","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",212,14.2,"41480883;41416743;41283570"
"silica","(?i:\b(silica|silicosis|silicon\s+dioxide)\b)","exposure","occupational; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_026","silica","silica","exposure","A","A_environmental_exposure","environmental_exposure","environmental_exposure","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",3,0.2,"40073151;21148743;3927666"
"metal_dust","(?i:\b(metal\s+dust|welding\s+fume(s)?)\b)","exposure","occupational; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_027","metal dust","metal_dust","exposure","A","A_environmental_exposure","environmental_exposure","environmental_exposure","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",0,0,""
"EORA","(?i:\b(elderly[-\s]?onset\s+rheumatoid\s+arthritis|\bEORA\b)\b)","host","elderly-onset RA; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_028","EORA","EORA","host","A","A_host_factor","host_factor","host_demographic","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",4,0.27,"40739540;33379844;33331311"
"male_sex","(?i:\b(male\s+sex|\bmen\b|\bmale\b)\b)","host","sex; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_029","male sex","male_sex","host","A","A_host_factor","host_factor","host_demographic","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",215,14.4,"41392523;41327765;41199312"
"low_BMI","(?i:\b(?:low\s+BMI|underweight|low\s+body\s+mass\s+index|body\s+mass\s+index\s*(?:<|≤|<=)\s*(?:18\.5|19|20)(?:\s*kg/?m(?:\^?2|2))?)\b)","host","nutrition; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_030","low BMI","low_BMI","host","A","A_host_factor","host_factor","nutrition","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",1,0.07,"40004909"
"hypoalbuminemia","(?i:\b(hypoalbumin[a]?emia|low\s+albumin)\b)","host","nutrition; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_031","hypoalbuminemia","hypoalbuminemia","host","A","A_host_factor","host_factor","nutrition","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",8,0.54,"37468847;36542325;35696743"
"pulmonary_hypertension","(?i:\b(pulmonary\s+hypertension)\b)","complication","PH; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_032","pulmonary hypertension","pulmonary_hypertension","complication","B","B_cardiopulmonary_burden","comorbidity_or_complication","severe_pulmonary_complication","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",22,1.47,"41377348;41356090;40781169"
"right_heart_failure","(?i:\b(right\s+heart\s+failure|cor\s+pulmonale)\b)","complication","RHF; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_033","right heart failure","right_heart_failure","complication","B","B_cardiopulmonary_burden","comorbidity_or_complication","severe_pulmonary_complication","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",3,0.2,"39229261;26029619;21139729"
"UIP","(?i:\b(UIP|usual\s+interstitial\s+pneumonia)\b)","pattern","ILD pattern; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_034","UIP","UIP","pattern","B","B_imaging_or_pattern","radiographic_or_pathologic_pattern","ILD_pattern","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",234,15.67,"41782975;41402949;41356090"
"NSIP","(?i:\b(NSIP|nonspecific\s+interstitial\s+pneumonia)\b)","pattern","ILD pattern; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_035","NSIP","NSIP","pattern","B","B_imaging_or_pattern","radiographic_or_pathologic_pattern","ILD_pattern","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",126,8.44,"41480883;41402949;41354106"
"organizing_pneumonia","(?i:\b(?:organizing\s+pneumonia|organising\s+pneumonia|bronchiolitis\s+obliterans\s+organizing\s+pneumonia|BOOP)\b)","pattern","avoid OP ambiguity; v2_qc: Added British spelling organising pneumonia and kept BOOP phrase while leaving OP acronym excluded.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_036","organizing pneumonia","organizing_pneumonia","pattern","B","B_injury_or_pattern_descriptor","radiographic_or_pathologic_pattern","ILD_pattern","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",48,3.22,"41354106;40852743;40545704"
"CPFE","(?:\bCPFE\b|(?i:\bcombined\s+pulmonary\s+fibrosis\s+(?:and|-)\s+emphysema\b|\bcombined\s+pulmonary\s+fibrosis\s+emphysema\b))","pattern","fibrosis+emphysema; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_037","CPFE","CPFE","pattern","B","B_imaging_or_pattern","radiographic_or_pathologic_pattern","ILD_pattern","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",11,0.74,"39975554;39474521;39223693"
"ground_glass","(?:\bGGO\b|(?i:\bground[-\s]?glass(?:\s+opacity|\s+opacities)?\b))","radiology","GGO; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_038","ground glass","ground_glass","radiology","B","B_imaging_or_pattern","radiology_feature","radiology_feature","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",59,3.95,"41200575;40633426;40545704"
"reticulation","(?i:\b(reticulation|reticular\s+opacit(y|ies))\b)","radiology","reticulation; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_039","reticulation","reticulation","radiology","B","B_imaging_or_pattern","radiology_feature","radiology_feature","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",24,1.61,"40545704;40197179;39633326"
"honeycombing","(?i:\b(honeycomb(ing)?)\b)","radiology","fibrosis; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_040","honeycombing","honeycombing","radiology","B","B_imaging_or_pattern","radiology_feature","fibrotic_radiology_feature","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",53,3.55,"41180969;40635494;40486574"
"traction_bronchiectasis","(?i:\b(traction\s+bronchiectasis)\b)","radiology","fibrosis; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_041","traction bronchiectasis","traction_bronchiectasis","radiology","B","B_imaging_or_pattern","radiology_feature","fibrotic_radiology_feature","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",14,0.94,"40229742;39633326;39192903"
"bronchiectasis","(?i:(?<!traction\s)(?<!traction-)\bbronchiectasis\b)","airway","airway disease; v2_qc: Added negative context for traction bronchiectasis so airway bronchiectasis does not duplicate fibrotic traction bronchiectasis.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_042","bronchiectasis","bronchiectasis","airway","B","B_airway_disease","airway_disease","airway_disease","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","tightened_or_merged",50,3.35,"41184949;41144903;40644608"
"small_airway_disease","(?i:\b(small\s+airway(s)?(\s+disease)?)\b)","airway","airway disease; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_043","small airway disease","small_airway_disease","airway","B","B_airway_disease","airway_disease","airway_disease","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",32,2.14,"41410579;38262872;37647425"
"airway_disease","(?i:\b(airway\s+disease)\b)","airway","airway disease; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_044","airway disease","airway_disease","airway","B","B_airway_disease","airway_disease","airway_disease","aggregate","sensitivity","sensitivity","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",31,2.08,"41402949;41233344;41214590"
"subpleural","(?i:\b(subpleural)\b)","radiology","distribution; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_045","subpleural","subpleural","radiology","B","B_imaging_or_pattern","radiology_feature","radiographic_distribution","specific","main","primary_atlas","True","True","clinically_or_biologically_interpretable; abstract_regex_qc_passed","","inline_flags_normalized",21,1.41,"40722657;39578822;39311676"
